@relation traffic 
@attribute srcIP {10.0.2.15,213.180.204.8,91.144.166.4,217.69.128.53,94.100.189.46,74.125.43.101,74.125.43.102,74.125.43.138,74.125.43.113,74.125.87.101,208.117.241.84,204.246.234.19,74.125.43.139,74.125.43.118,74.125.87.147}
@attribute dstIP {213.180.204.8,10.0.2.15,91.144.166.4,217.69.128.53,94.100.189.46,74.125.43.101,74.125.43.102,74.125.43.113,74.125.43.138,74.125.87.101,208.117.241.84,204.246.234.19,74.125.43.139,74.125.43.118,74.125.87.147}
@attribute length {98,86,151,74,60,54,1225,1444,76,92,612,1514,603,75,203,866,642,1438,737,113,742,70,627,1244,982,719,206,180,672,491,575,570,576,574,573,1030,218,587,328,361,1039,1430,295,468,432,228,926,1122,368,541,855,778,633,676,891,205,559,187,85,71,123,476,430,459,986,1482,136,1062,248,198,629,422,438,200,378,290,623,1204,886,1494,214,846,112,1026,325,481,495,493,72,117,374,486,376,330,662,373,97,474,1119,1099,1165,319,803,660,781,415,1125,1484,564,1290,622,901,492,464,436,396,751,1106,88}
@attribute protocol {ICMP,UDP,TCP}
@attribute srcCountry {@@,RU,DE,US}
@attribute dstCountry {RU,@@,DE,US}
@data
74.125.43.102,10.0.2.15,60,TCP,US,@@
74.125.43.102,10.0.2.15,60,TCP,US,@@
74.125.43.138,10.0.2.15,60,TCP,US,@@
10.0.2.15,74.125.43.138,54,TCP,@@,US
74.125.43.138,10.0.2.15,60,TCP,US,@@
10.0.2.15,74.125.43.138,54,TCP,@@,US
74.125.43.138,10.0.2.15,60,TCP,US,@@
10.0.2.15,74.125.43.138,54,TCP,@@,US
74.125.43.138,10.0.2.15,60,TCP,US,@@
10.0.2.15,74.125.43.138,54,TCP,@@,US
74.125.43.138,10.0.2.15,60,TCP,US,@@
10.0.2.15,74.125.43.138,54,TCP,@@,US
74.125.43.138,10.0.2.15,60,TCP,US,@@
74.125.43.113,10.0.2.15,60,TCP,US,@@
74.125.43.113,10.0.2.15,60,TCP,US,@@
74.125.43.102,10.0.2.15,60,TCP,US,@@
10.0.2.15,74.125.43.138,54,TCP,@@,US
10.0.2.15,74.125.43.113,54,TCP,@@,US
10.0.2.15,74.125.43.113,54,TCP,@@,US
10.0.2.15,74.125.43.102,54,TCP,@@,US
10.0.2.15,74.125.43.138,74,TCP,@@,US
10.0.2.15,74.125.43.102,575,TCP,@@,US
10.0.2.15,74.125.43.113,575,TCP,@@,US
74.125.43.102,10.0.2.15,60,TCP,US,@@
74.125.43.113,10.0.2.15,60,TCP,US,@@
74.125.43.138,10.0.2.15,60,TCP,US,@@
10.0.2.15,74.125.43.138,54,TCP,@@,US
10.0.2.15,74.125.43.113,570,TCP,@@,US
10.0.2.15,74.125.43.138,576,TCP,@@,US
10.0.2.15,74.125.43.138,570,TCP,@@,US
10.0.2.15,74.125.43.138,574,TCP,@@,US
10.0.2.15,74.125.43.138,491,TCP,@@,US
10.0.2.15,74.125.43.138,570,TCP,@@,US
10.0.2.15,74.125.43.138,573,TCP,@@,US
10.0.2.15,74.125.43.138,570,TCP,@@,US
74.125.43.113,10.0.2.15,60,TCP,US,@@
74.125.43.138,10.0.2.15,60,TCP,US,@@
74.125.43.138,10.0.2.15,60,TCP,US,@@
74.125.43.138,10.0.2.15,60,TCP,US,@@
74.125.43.138,10.0.2.15,60,TCP,US,@@
74.125.43.138,10.0.2.15,60,TCP,US,@@
74.125.43.138,10.0.2.15,60,TCP,US,@@
74.125.43.138,10.0.2.15,60,TCP,US,@@
74.125.43.101,10.0.2.15,1514,TCP,US,@@
10.0.2.15,74.125.43.101,54,TCP,@@,US
74.125.43.101,10.0.2.15,642,TCP,US,@@
10.0.2.15,74.125.43.101,54,TCP,@@,US
74.125.43.101,10.0.2.15,1514,TCP,US,@@
10.0.2.15,74.125.43.101,54,TCP,@@,US
74.125.43.101,10.0.2.15,642,TCP,US,@@
10.0.2.15,74.125.43.101,54,TCP,@@,US
74.125.43.101,10.0.2.15,1514,TCP,US,@@
10.0.2.15,74.125.43.101,54,TCP,@@,US
74.125.43.101,10.0.2.15,642,TCP,US,@@
10.0.2.15,74.125.43.101,54,TCP,@@,US
74.125.43.101,10.0.2.15,1514,TCP,US,@@
10.0.2.15,74.125.43.101,54,TCP,@@,US
74.125.43.101,10.0.2.15,1030,TCP,US,@@
10.0.2.15,74.125.43.101,54,TCP,@@,US
74.125.43.101,10.0.2.15,1514,TCP,US,@@
10.0.2.15,74.125.43.101,54,TCP,@@,US
74.125.43.101,10.0.2.15,642,TCP,US,@@
10.0.2.15,74.125.43.101,54,TCP,@@,US
74.125.43.101,10.0.2.15,1514,TCP,US,@@
10.0.2.15,74.125.43.101,54,TCP,@@,US
74.125.43.101,10.0.2.15,642,TCP,US,@@
10.0.2.15,74.125.43.101,54,TCP,@@,US
74.125.43.101,10.0.2.15,1514,TCP,US,@@
74.125.43.101,10.0.2.15,642,TCP,US,@@
74.125.43.102,10.0.2.15,1514,TCP,US,@@
10.0.2.15,74.125.43.102,54,TCP,@@,US
74.125.43.102,10.0.2.15,642,TCP,US,@@
10.0.2.15,74.125.43.102,54,TCP,@@,US
74.125.43.102,10.0.2.15,866,TCP,US,@@
10.0.2.15,74.125.43.102,54,TCP,@@,US
10.0.2.15,74.125.43.101,54,TCP,@@,US
74.125.43.102,10.0.2.15,1514,TCP,US,@@
10.0.2.15,74.125.43.102,54,TCP,@@,US
74.125.43.102,10.0.2.15,642,TCP,US,@@
10.0.2.15,74.125.43.102,54,TCP,@@,US
74.125.43.138,10.0.2.15,1514,TCP,US,@@
10.0.2.15,74.125.43.138,54,TCP,@@,US
74.125.43.138,10.0.2.15,642,TCP,US,@@
10.0.2.15,74.125.43.138,54,TCP,@@,US
74.125.43.138,10.0.2.15,1514,TCP,US,@@
10.0.2.15,74.125.43.138,54,TCP,@@,US
74.125.43.138,10.0.2.15,642,TCP,US,@@
10.0.2.15,74.125.43.138,54,TCP,@@,US
74.125.43.138,10.0.2.15,1514,TCP,US,@@
10.0.2.15,74.125.43.138,54,TCP,@@,US
74.125.43.138,10.0.2.15,218,TCP,US,@@
10.0.2.15,74.125.43.138,54,TCP,@@,US
74.125.43.138,10.0.2.15,1514,TCP,US,@@
10.0.2.15,74.125.43.138,54,TCP,@@,US
74.125.43.138,10.0.2.15,642,TCP,US,@@
10.0.2.15,74.125.43.138,54,TCP,@@,US
74.125.43.102,10.0.2.15,587,TCP,US,@@
10.0.2.15,74.125.43.102,54,TCP,@@,US
74.125.43.138,10.0.2.15,1514,TCP,US,@@
10.0.2.15,74.125.43.138,54,TCP,@@,US
74.125.43.138,10.0.2.15,328,TCP,US,@@
10.0.2.15,74.125.43.138,54,TCP,@@,US
74.125.43.102,10.0.2.15,1514,TCP,US,@@
10.0.2.15,74.125.43.102,54,TCP,@@,US
74.125.43.102,10.0.2.15,361,TCP,US,@@
10.0.2.15,74.125.43.102,54,TCP,@@,US
74.125.43.101,10.0.2.15,1039,TCP,US,@@
10.0.2.15,74.125.43.101,54,TCP,@@,US
74.125.43.113,10.0.2.15,1514,TCP,US,@@
10.0.2.15,74.125.43.113,54,TCP,@@,US
74.125.43.113,10.0.2.15,642,TCP,US,@@
10.0.2.15,74.125.43.113,54,TCP,@@,US
74.125.43.113,10.0.2.15,1514,TCP,US,@@
10.0.2.15,74.125.43.113,54,TCP,@@,US
74.125.43.113,10.0.2.15,642,TCP,US,@@
10.0.2.15,74.125.43.113,54,TCP,@@,US
74.125.43.138,10.0.2.15,1514,TCP,US,@@
10.0.2.15,74.125.43.138,54,TCP,@@,US
74.125.43.138,10.0.2.15,642,TCP,US,@@
10.0.2.15,74.125.43.138,54,TCP,@@,US
74.125.43.113,10.0.2.15,1430,TCP,US,@@
10.0.2.15,74.125.43.113,54,TCP,@@,US
74.125.43.138,10.0.2.15,1514,TCP,US,@@
10.0.2.15,74.125.43.138,54,TCP,@@,US
74.125.43.138,10.0.2.15,642,TCP,US,@@
10.0.2.15,74.125.43.138,54,TCP,@@,US
74.125.43.138,10.0.2.15,1514,TCP,US,@@
10.0.2.15,74.125.43.138,54,TCP,@@,US
74.125.43.138,10.0.2.15,642,TCP,US,@@
10.0.2.15,74.125.43.138,54,TCP,@@,US
74.125.43.138,10.0.2.15,1514,TCP,US,@@
10.0.2.15,74.125.43.138,54,TCP,@@,US
74.125.43.138,10.0.2.15,642,TCP,US,@@
10.0.2.15,74.125.43.138,54,TCP,@@,US
74.125.43.138,10.0.2.15,1514,TCP,US,@@
10.0.2.15,74.125.43.138,54,TCP,@@,US
74.125.43.138,10.0.2.15,642,TCP,US,@@
10.0.2.15,74.125.43.138,54,TCP,@@,US
74.125.43.113,10.0.2.15,1514,TCP,US,@@
10.0.2.15,74.125.43.113,54,TCP,@@,US
74.125.43.113,10.0.2.15,642,TCP,US,@@
10.0.2.15,74.125.43.113,54,TCP,@@,US
74.125.43.138,10.0.2.15,1514,TCP,US,@@
10.0.2.15,74.125.43.138,54,TCP,@@,US
74.125.43.138,10.0.2.15,642,TCP,US,@@
10.0.2.15,74.125.43.138,54,TCP,@@,US
74.125.43.138,10.0.2.15,1514,TCP,US,@@
10.0.2.15,74.125.43.138,54,TCP,@@,US
74.125.43.138,10.0.2.15,642,TCP,US,@@
10.0.2.15,74.125.43.138,54,TCP,@@,US
74.125.43.138,10.0.2.15,1514,TCP,US,@@
10.0.2.15,74.125.43.138,54,TCP,@@,US
74.125.43.138,10.0.2.15,642,TCP,US,@@
10.0.2.15,74.125.43.138,54,TCP,@@,US
74.125.43.138,10.0.2.15,1514,TCP,US,@@
10.0.2.15,74.125.43.138,54,TCP,@@,US
74.125.43.138,10.0.2.15,295,TCP,US,@@
10.0.2.15,74.125.43.138,54,TCP,@@,US
74.125.43.138,10.0.2.15,1514,TCP,US,@@
10.0.2.15,74.125.43.138,54,TCP,@@,US
74.125.43.138,10.0.2.15,468,TCP,US,@@
10.0.2.15,74.125.43.138,54,TCP,@@,US
74.125.43.102,10.0.2.15,1514,TCP,US,@@
10.0.2.15,74.125.43.102,54,TCP,@@,US
74.125.43.102,10.0.2.15,432,TCP,US,@@
10.0.2.15,74.125.43.102,54,TCP,@@,US
74.125.43.138,10.0.2.15,228,TCP,US,@@
10.0.2.15,74.125.43.138,54,TCP,@@,US
74.125.43.138,10.0.2.15,926,TCP,US,@@
10.0.2.15,74.125.43.138,54,TCP,@@,US
74.125.43.138,10.0.2.15,1122,TCP,US,@@
10.0.2.15,74.125.43.138,54,TCP,@@,US
74.125.43.113,10.0.2.15,1514,TCP,US,@@
10.0.2.15,74.125.43.113,54,TCP,@@,US
74.125.43.113,10.0.2.15,368,TCP,US,@@
10.0.2.15,74.125.43.113,54,TCP,@@,US
74.125.43.113,10.0.2.15,1514,TCP,US,@@
10.0.2.15,74.125.43.113,54,TCP,@@,US
74.125.43.113,10.0.2.15,541,TCP,US,@@
10.0.2.15,74.125.43.113,54,TCP,@@,US
74.125.43.138,10.0.2.15,855,TCP,US,@@
10.0.2.15,74.125.43.138,54,TCP,@@,US
10.0.2.15,74.125.43.101,778,TCP,@@,US
74.125.43.101,10.0.2.15,60,TCP,US,@@
74.125.43.101,10.0.2.15,1514,TCP,US,@@
10.0.2.15,74.125.43.101,54,TCP,@@,US
74.125.43.101,10.0.2.15,642,TCP,US,@@
10.0.2.15,74.125.43.101,54,TCP,@@,US
74.125.43.101,10.0.2.15,1514,TCP,US,@@
10.0.2.15,74.125.43.101,54,TCP,@@,US
74.125.43.101,10.0.2.15,633,TCP,US,@@
10.0.2.15,74.125.43.101,54,TCP,@@,US
